metric,n_control,n_rbd,mean_control,mean_control_ci_low,mean_control_ci_high,mean_rbd,mean_rbd_ci_low,mean_rbd_ci_high,mean_diff_control_minus_rbd,mean_diff_ci_low,mean_diff_ci_high,median_control,median_rbd,sd_control,sd_rbd,test,statistic,p_value,effect_size,effect_name,shapiro_control_p,shapiro_rbd_p
mean_hep_NREM,15,15,3.487669739798311,2.880984639620956,4.19915265741984,2.804941624649538,1.9295504893171291,4.215220532528003,0.6827281151487732,-0.882022821429796,1.8737392951090848,3.0953619106537413,2.25875594650468,1.3600800621314888,2.5240775722814086,mann_whitney,172.0,0.014396852751179466,-0.528888888888889,rank_biserial,0.022355546363592577,7.931683439076165e-06
mean_hep_all,15,15,3.590453333986803,2.9952416377155893,4.282628058250796,2.8583705075610615,1.9895365833300949,4.218765331240573,0.7320828264257417,-0.7570133905076036,1.8919970587997423,3.5509369892473255,2.2133085747483956,1.3167911366899578,2.4414356756233926,mann_whitney,171.0,0.01614027989360373,-0.52,rank_biserial,0.03669556651949011,1.2857315847061363e-05
spearman_30s_r_all,15,15,0.31475355750273215,0.2360788500716522,0.3911817813373645,0.17483193524848184,0.09310036851262693,0.24577890350806714,0.1399216222542503,0.034294164349086505,0.25110625792332486,0.3083930929870565,0.21558849775866842,0.15606822477019888,0.15815246306502567,welch_t,2.438940078727445,0.021327072187214982,0.8905749983482983,cohen_d,0.2434332111740854,0.08133743183474222
mean_hep_REM,15,15,3.139761501373272,2.489586260201219,3.887378042997435,2.538186969069936,1.6811360863054572,3.9392069312516758,0.6015745323033359,-0.983312931880381,1.8199438159456025,2.4327545813016864,1.905938159226128,1.4387413193213359,2.535079781827586,mann_whitney,167.0,0.02510289275359325,-0.48444444444444446,rank_biserial,0.013427695524534893,4.467965219248968e-06
spearman_30s_r_NREM,15,15,0.32259774435534827,0.23316273260982467,0.40206251497751844,0.17789667273216192,0.09357833999970006,0.2604848995445738,0.14470107162318635,0.025438178336505943,0.2594784846504317,0.37723536307275535,0.1886251122239597,0.17109263564463414,0.16921492837068003,welch_t,2.3289178074674464,0.027306145561110908,0.8504005451502624,cohen_d,0.11232070916075626,0.9860167823762153
spearman_30s_p_NREM,15,15,0.040559454659875864,9.248447040692669e-07,0.10346000931051584,0.16410551824214165,0.008924644275759196,0.3460513269693253,-0.12354606358226577,-0.3101626771062354,0.03193309058767767,4.5148752740193814e-20,1.6313410166951935e-06,0.10766300076291359,0.33867424248594274,mann_whitney,63.0,0.04211061679180699,0.43999999999999995,rank_biserial,9.468612730990809e-07,9.639365544108816e-06
spearman_30s_p_all,15,15,0.006609703796149601,4.069425187107657e-08,0.01966325187474722,0.001018528283325035,9.892903848374414e-07,0.0030446869649622286,0.005591175512824566,-0.0025563250988394665,0.01948912044612615,1.335192956167006e-25,1.6608449377823538e-11,0.02492179447680472,0.003913365785885639,mann_whitney,67.0,0.06196961991403871,0.4044444444444445,rank_biserial,1.147369410755794e-07,1.0243075362933172e-07
mean_delta_power_all,15,15,0.42237793558603515,0.38074287555185116,0.4674743269775932,0.3730876236557864,0.32509236708114286,0.4230093179521587,0.04929031193024874,-0.014595965969688405,0.114042290812152,0.40443521498168955,0.38772217038498413,0.08976374039107826,0.09923761340191484,welch_t,1.4266332990156168,0.16485152644262452,0.5209328261059106,cohen_d,0.5380267700970325,0.9241207337375138
pearson_30s_r_all,15,15,0.24646535768795863,0.16765109460199235,0.3272256571855241,0.1699265245465393,0.09875640530806468,0.23375987351969937,0.07653883314141932,-0.025540765654031426,0.18349039235537565,0.27054409790154466,0.16118575286901024,0.1620062079731336,0.13989613903040526,welch_t,1.3848872627375712,0.17725335779450246,0.505689328935301,cohen_d,0.5813071012560235,0.3491372508020868
hep_peak_latency_NREM,15,15,0.2359375,0.15260416666666668,0.32487630208333323,0.12734375,0.06393229166666667,0.195703125,0.10859374999999999,-0.0002604166666666522,0.2191438802083333,0.2421875,0.048828125,0.17989088596257327,0.13654365382073427,mann_whitney,145.0,0.18416588608240148,-0.288888888888889,rank_biserial,0.03916434729930352,0.00781170366720238
pearson_30s_r_NREM,15,15,0.27240365060552646,0.193679595900286,0.3512713063283388,0.1964842397967996,0.11050172604562877,0.2743423464552213,0.07591941080872686,-0.03649692219089812,0.19026821229721463,0.32689109274989125,0.2063186255621996,0.15965649632106732,0.1681393637329128,welch_t,1.2681324560786933,0.21522177995300376,0.4630565013991531,cohen_d,0.5091662153169192,0.10229956501137027
hep_peak_latency_all,15,15,0.22473958333333333,0.16145507812500004,0.29466145833333335,0.12955729166666666,0.06497395833333333,0.19947916666666668,0.09518229166666667,-0.001171874999999989,0.19023437499999996,0.24609375,0.048828125,0.13775212675626555,0.137938331699113,mann_whitney,140.0,0.2623811539052744,-0.24444444444444446,rank_biserial,0.0077149860877668815,0.0037414606182961706
mean_delta_power_NREM,15,15,0.4373338623520308,0.3939718050358874,0.48140290804893965,0.40113603040033907,0.36130313354684884,0.44493528991320996,0.03619783195169174,-0.024208212841835292,0.09447387768437542,0.4245787447627033,0.39538049461800157,0.08974544266571068,0.08502166245944047,welch_t,1.134030960805349,0.2664255133128276,0.4140895587615644,cohen_d,0.8559546126909883,0.4511452866655892
n_epochs_rem,15,15,176.8,138.53166666666667,219.73333333333332,146.93333333333334,119.46500000000002,178.2,29.866666666666674,-19.668333333333337,80.79999999999998,173.0,139.0,83.07070998338015,60.16817700254449,welch_t,1.1277292813997382,0.269926192258812,0.41178851078781853,cohen_d,0.48327398784181064,0.23982895109147911
hep_peak_latency_REM,15,15,0.225390625,0.15234375,0.30234375,0.1515625,0.08450520833333333,0.2208365885416666,0.07382812500000002,-0.02630208333333331,0.17552083333333332,0.25390625,0.0546875,0.15339680118334037,0.13989611449773187,mann_whitney,137.0,0.3192905486924468,-0.21777777777777785,rank_biserial,0.048827424971764066,0.007977516406387197
spearman_30s_p_REM,15,15,0.17774684814998704,0.04628623053861427,0.329423458777301,0.1870296774920426,0.07143104794143516,0.3242575689026389,-0.00928282934205557,-0.19607530754227462,0.186930080529926,0.0005621020622292831,0.03928129354817098,0.29152725085311487,0.25712907554758363,mann_whitney,91.0,0.38373262766250305,0.19111111111111112,rank_biserial,7.878330743428579e-05,0.0011106413913323809
hep_auc_all,15,15,0.024233464833574365,-0.023413759227614836,0.06644817296610468,0.051793625080421846,0.012076213829069928,0.0917179670905022,-0.02756016024684748,-0.08857344684178833,0.032392828543692534,0.03504956548896996,0.05307308475980464,0.09224179611673093,0.08156781067837886,welch_t,-0.8668644127020534,0.39349392730457455,-0.3165341287569217,cohen_d,0.07481277773546574,0.48363090308067036
pearson_30s_p_all,15,15,0.08873507282827257,6.413699153661006e-05,0.24392334608763264,0.05437622262205008,1.0044573410675252e-05,0.15826339863935762,0.034358850206222494,-0.11344829135946195,0.20749819571695388,4.53370291049994e-19,1.3740618713324643e-07,0.26594324202401903,0.19141060547211153,mann_whitney,95.0,0.48073111045562256,0.15555555555555556,rank_biserial,5.463373133570351e-07,1.7538058521286484e-07
pearson_30s_p_NREM,15,15,0.07708020408916522,0.0006753218121652606,0.2110878493724894,0.044580710046644094,2.362959420104262e-05,0.13329112939920046,0.03249949404252112,-0.10612038549566251,0.19785045992086572,2.2895945041138325e-15,1.393905937901514e-06,0.24580952785122626,0.1711266279092544,mann_whitney,96.0,0.506914933812496,0.1466666666666666,rank_biserial,3.0577281816746034e-07,1.0327056424899205e-07
